Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"scrollToElement(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Card Number""), 10)",Chrome 72.0.3626.121,,2019-03-10 18:43:27,2019-03-10 18:43:27,0.046s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Card Number""), CCNumber)",Chrome 72.0.3626.121,,2019-03-10 18:43:27,2019-03-10 18:43:27,0.494s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Card Number_Expiry (MMYY)""), CCExpiry)",Chrome 72.0.3626.121,,2019-03-10 18:43:27,2019-03-10 18:43:27,0.234s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_CVV""), CVV)",Chrome 72.0.3626.121,,2019-03-10 18:43:27,2019-03-10 18:43:28,0.314s,PASSED
"setText(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/input_Card Holder Name""), CardHolderName)",Chrome 72.0.3626.121,,2019-03-10 18:43:28,2019-03-10 18:43:28,0.573s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-03-10 18:43:28,2019-03-10 18:43:30,2.007s,PASSED
"click(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/span_COMPLETE MY BOOKING""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Click on next,2019-03-10 18:43:30,2019-03-10 18:43:30,0.150s,PASSED
"waitForElementVisible(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/span_Invalid card details""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:43:30,2019-03-10 18:43:31,0.583s,PASSED
"verifyElementVisible(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/span_Invalid card details""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-10 18:43:31,2019-03-10 18:43:31,0.040s,PASSED
closeWindowIndex(1),Chrome 72.0.3626.121,,2019-03-10 18:43:31,2019-03-10 18:43:31,0.090s,PASSED
switchToWindowIndex(0),Chrome 72.0.3626.121,,2019-03-10 18:43:31,2019-03-10 18:43:31,0.023s,PASSED
delay(1),Chrome 72.0.3626.121,,2019-03-10 18:43:31,2019-03-10 18:43:32,1.006s,PASSED
,,,,,,
Test Cases/003-CloseBrowser,Chrome 72.0.3626.121,,2019-03-10 18:43:34,2019-03-10 18:43:40,5.672s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-10 18:43:34,2019-03-10 18:43:37,3.005s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-10 18:43:37,2019-03-10 18:43:38,0.378s,PASSED
